FileName,SectionAlignment,FileAlignment,SizeOfHeaders,TimeDateStamp,ImageBase,SizeOfImage,DllCharacteristics,Characteristics,HighEntropy,LowEntropy,TotalSuspiciousSections,TotalNonSuspiciousSections
zeusbin_011d839504328a86d019e43a34843019.ex0.json,4096,512,1024,0x4775E071 [Sat Dec 29 05:51:45 2007 UTC],4194304,102400,33024,259,0,1,0,3
zeusbin_01287ccf6306705df3801048ebb26edf.ex0.json,4096,512,4096,0x3ADA441C [Mon Apr 16 01:00:12 2001 UTC],4194304,1015808,0,33167,1,1,2,1
zeusbin_012c9e0b967f74802531a9fd3e967214.ex0.json,4096,512,2048,0x50C20DDD [Fri Dec  7 15:40:13 2012 UTC],4194304,225280,32768,259,1,1,2,4
zeusbin_013032c2908bfa783536652a140dff9e.ex0.json,4096,512,4096,0x4D79EAE2 [Fri Mar 11 09:26:58 2011 UTC],4194304,262144,0,271,1,1,2,1
zeusbin_014dbfe1c4ee3397747f307f3722e1e8.ex0.json,4096,512,1024,0x4F353108 [Fri Feb 10 15:00:24 2012 UTC],4194304,315392,0,270,1,1,4,3
zeusbin_01513dd543b51cf9e94c88044f894d14.ex0.json,4096,512,1024,0x508BFEA6 [Sat Oct 27 15:32:54 2012 UTC],4194304,626688,33024,259,0,1,0,4
zeusbin_016d8d18b74cadf0ff8be85db7400a2b.ex0.json,4096,512,512,0x4E45A87E [Fri Aug 12 22:26:06 2011 UTC],4194304,143360,33024,258,1,1,0,3
zeusbin_01701315c7c40e4091995669079ed165.ex0.json,4096,512,1024,0x4C95C1BF [Sun Sep 19 07:54:39 2010 UTC],4194304,159744,0,271,0,1,0,3
zeusbin_01741d7b11fc91de9224502ddeb0145f.ex0.json,4096,512,1024,0x4FF9900C [Sun Jul  8 13:50:04 2012 UTC],4194304,393216,0,270,0,1,8,2
zeusbin_018fefb960b168b7ba37cf3ac06b32b0.ex0.json,4096,512,1024,0x4F386A14 [Mon Feb 13 01:40:36 2012 UTC],4194304,315392,0,270,1,1,4,3
zeusbin_01a7cc4d710b79cf2e5158b3b6151b0e.ex0.json,4096,512,1024,0x50FD3282 [Mon Jan 21 12:20:18 2013 UTC],4194304,315392,32768,259,1,0,0,3
zeusbin_01a83340f2f7756fb72314e07ddb9972.ex0.json,4096,512,1024,0x4D8B2CB7 [Thu Mar 24 11:36:23 2011 UTC],4194304,159744,33024,258,0,0,1,2
zeusbin_01b24e0a9c43c473161b7587f83e17fe.ex0.json,4096,512,1024,0x49B02950 [Thu Mar  5 19:34:40 2009 UTC],4194304,565248,33024,258,1,0,1,4
